Price,Close,High,Low,Open,Volume
Ticker,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
Date,,,,,
2021-01-01,489.7408752441406,491.8348563902964,475.63147794864955,475.63147794864955,5035248
2021-01-04,493.081298828125,501.15806633072805,485.25381408529347,490.5884712304095,4936582
2021-01-05,492.9815673828125,499.96148448289694,488.1953506861927,490.5884590345026,3654033
2021-01-06,489.4916076660156,499.2136350322454,482.8606925227457,494.5769819128175,3295461
2021-01-07,516.6135864257812,522.4468397397338,492.3833134371928,492.48303263085467,9879731
2021-01-08,516.5138549804688,525.0891571863191,512.6250197591843,521.4995099513227,3702267
2021-01-11,517.66064453125,523.0949604392206,509.0354360119044,519.1064359650823,4148831
2021-01-12,523.892578125,535.0603950676265,515.6163432999653,517.5109162777525,4878024
2021-01-13,534.5120849609375,538.6502031452738,519.8044020345109,527.5820120202046,4948731
2021-01-14,530.5733642578125,539.4478542258789,526.8840283605695,533.4152240354728,3161306
2021-01-15,525.7871704101562,535.9579189036868,517.3115568088887,533.1659642423375,3376852
2021-01-18,506.3929748535156,527.5819777725324,500.60959690494076,526.4851580373061,5204588
2021-01-19,528.5791625976562,530.4737359988154,510.8302414975257,510.8302414975257,4181185
2021-01-20,545.181396484375,550.5659284479933,529.4765825938787,530.6233076346646,6681731
2021-01-21,535.3596801757812,551.3636212093959,530.0249925912104,549.81808026809,4208383
2021-01-22,525.2886352539062,545.1814122629456,520.1035415203647,532.5178355079645,4179558
2021-01-25,512.4255981445312,532.8667817656843,507.53963234960514,528.7286641520199,3728411
2021-01-27,511.3287658691406,520.0536621403186,505.59526260522364,511.6278929978574,2792007
2021-01-28,510.3814697265625,518.0095152120153,499.91159502064113,505.8445057626507,4197516
2021-01-29,505.1964416503906,523.6932409318144,501.05835386862486,513.7219304070657,3822560
2021-02-01,535.6588134765625,537.9522027248811,495.474413810183,509.0354022076956,4004036
2021-02-02,562.581298828125,565.2735645874636,539.2484100605819,540.4948237584198,5144708
2021-02-03,564.974365234375,574.9456746162739,556.7480349943083,566.3703728918579,6087209
2021-02-04,588.0081787109375,609.9450613018421,554.4048509337696,560.337792715592,11184167
2021-02-05,593.641845703125,606.1059817165444,586.9112122558786,593.292874238765,4754950
2021-02-08,626.4973754882812,636.1695580570828,601.8183840119289,603.6631128201274,7085276
2021-02-09,628.04296875,640.0584466144832,619.2183832839347,629.6384149492089,4510798
2021-02-10,648.8331298828125,653.0210920999809,620.3151478211752,631.2337440394931,5991927
2021-02-11,656.7105102539062,659.1036492092768,643.4985233370788,652.1237315928397,3688016
2021-02-12,716.8873901367188,722.3716109849083,653.320284850885,655.1151085928278,16810897
2021-02-15,761.2596435546875,785.6893520737466,705.6197481608394,722.9199459721555,21579566
2021-02-16,777.9616088867188,800.6463388601354,754.0803095558821,757.8195507602913,19426061
2021-02-17,783.196533203125,799.6990385981986,780.0057019244899,784.8916680255292,8908279
2021-02-18,805.88134765625,822.1345720202372,783.7450256008568,784.991439445642,9694238
2021-02-19,779.6567993164062,828.6159099655365,727.4071074847881,810.6675509049112,20210882
2021-02-22,803.5878295898438,810.6674347497922,778.3105243519159,783.7449000164042,10890564
2021-02-23,797.3558349609375,824.9264708185201,786.7363653807902,812.4623332174302,9753081
2021-02-24,802.889892578125,809.7202155773527,793.167865337738,803.687585205327,4626257
2021-02-25,841.080078125,859.9258801531495,806.6790553682573,811.664710840249,12118095
2021-02-26,831.25830078125,858.5298098871898,817.4978439904903,831.507583536734,11355426
2021-03-01,849.0570678710938,858.4799682302811,834.0502581153758,838.3379093512883,5996840
2021-03-02,870.0465698242188,873.9852491200425,849.8048243725683,854.9400729413062,5116413
2021-03-03,912.7238159179688,942.1890849913674,870.345749373877,877.923981318965,11670544
2021-03-04,915.7651977539062,936.0069462746451,902.802493861998,907.389272433576,8141787
