Price,Close,High,Low,Open,Volume
Ticker,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS
Date,,,,,
2021-01-01,867.8728637695312,871.5847887226915,861.027416957231,862.9075065340807,4632855
2021-01-04,865.6552734375,881.2261975120415,855.6282272857953,877.3696277198663,6991890
2021-01-05,888.6019897460938,894.097555111053,851.3378572789943,859.7259090917181,11907501
2021-01-06,889.2767944335938,903.1604697083376,876.7911963731821,891.783600193899,9768197
2021-01-07,917.9118041992188,927.1676069913332,897.7130081806073,901.4731872596826,12154311
2021-01-08,906.10107421875,941.003043120189,898.6771654903904,930.3974760358426,10838196
2021-01-11,895.7847290039062,916.8512768972137,892.9887511998421,909.0899419245574,8419415
2021-01-12,894.38671875,907.7400674192877,874.0432788509229,887.0110058690863,8805330
2021-01-13,908.9452514648438,919.3097823089138,892.9405110954242,899.3520227747368,9473962
2021-01-14,934.928955078125,945.5345221363872,917.1405149247225,918.8277642294461,14887258
2021-01-15,931.2651977539062,947.7520097873621,919.261612717191,939.074727907315,9195430
2021-01-18,899.35205078125,925.5767367587308,890.8676091302784,924.6125943246071,10668611
2021-01-19,906.1974487304688,917.8635480185427,902.6783054961771,908.270319544621,6309233
2021-01-20,913.7178344726562,919.6472753804113,894.9652515821192,903.3051075217076,7004445
2021-01-21,892.6513061523438,932.3257933911289,885.323846723272,924.9983339620571,8216362
2021-01-22,861.2684326171875,900.5090418190923,858.0867743244027,896.6524720468477,11366492
2021-01-25,818.7015991210938,879.6353559380856,809.1083698082972,873.5130748132935,11829328
2021-01-27,790.741455078125,829.9338104207626,777.0988158517706,817.5927988117884,15810173
2021-01-28,773.8207397460938,799.1294801351096,760.7084254069911,772.5673662770981,13789865
2021-01-29,815.7609252929688,829.9820268120163,786.4028339800687,787.8007934928074,19305853
2021-02-01,935.796630859375,946.209416312388,825.3059305220436,828.1983578486396,38067807
2021-02-02,940.6656494140625,963.1783531487233,915.2604593458807,947.173611259662,20556081
2021-02-03,1010.95166015625,1042.0452556183616,937.3393453589262,944.8596450502123,34995822
2021-02-04,995.1397094726562,1004.6364896025285,979.5687844876861,997.7911013598031,13666242
2021-02-05,988.3424072265625,1046.0945638281519,979.8579653906374,1007.5288656225056,19524257
2021-02-08,997.98388671875,1017.1703461709417,991.1384984490313,998.8998927174644,7162284
2021-02-09,989.0173950195312,1013.8922001853689,983.425321603731,1006.5647409355836,7984133
2021-02-10,986.1248779296875,1001.2136718393642,967.6133312735687,997.8874274916597,7815034
2021-02-11,985.2571411132812,998.8515254010526,978.893765971696,988.2459590116592,5760021
2021-02-12,990.56005859375,1021.5090102597754,975.7122400971144,987.0891101787312,13959383
2021-02-15,1019.6769409179688,1024.8833332236825,1000.4904843302763,1007.4323799689478,9121286
2021-02-16,1020.3037719726562,1057.1822215620293,1003.7687050233616,1029.704161083673,13883441
2021-02-17,996.1519165039062,1046.094541701097,989.4029194606734,1041.273829527359,13855321
2021-02-18,1008.5413208007812,1017.5560297408176,996.3448944968836,1007.5289240868678,8911120
2021-02-19,1027.679443359375,1036.0192989474028,990.9456401833353,997.8874186269512,14557527
2021-02-22,986.2213134765625,1028.8363617314458,981.496992039116,1026.7634319719043,9412265
2021-02-23,1010.7105712890625,1016.1578819440248,981.4970081537795,996.103789721421,7160332
2021-02-24,1031.6324462890625,1037.4173011280666,1003.9133501855013,1009.7464592254329,6833820
2021-02-25,1069.9571533203125,1079.3575428178326,1040.3097710589027,1041.2739135714687,12716781
2021-02-26,1024.835205078125,1044.0699182270746,1013.5547851059398,1031.6324566595536,12247085
2021-03-01,1029.6558837890625,1057.278588557455,1025.0280706387225,1036.4531351479989,6358886
2021-03-02,1034.8621826171875,1047.3478968439445,1021.990905599449,1036.4530410560449,4917345
2021-03-03,1060.3155517578125,1064.413156754376,1038.5259581382477,1041.2737403031938,5695638
2021-03-04,1052.79541015625,1075.9830855557595,1034.1392753566213,1039.345668664076,6128220
2021-03-05,1002.6118774414062,1045.1305410429868,988.6799467534743,1045.1305410429868,13926140
2021-03-08,981.7379760742188,1017.6040254467072,978.1224421579129,1016.2060660763334,10522267
2021-03-09,988.05322265625,998.4658904246702,968.9631552077255,988.8244659947426,9915907
2021-03-10,1002.5635375976562,1021.9910321723985,996.0074393279265,1005.7452548694249,8832614
2021-03-12,985.9802856445312,1018.5200928572375,979.231288593007,1014.2778426005029,5735382
2021-03-15,1001.406494140625,1006.1789517853365,952.7654999018819,990.9455729856339,8019663
2021-03-16,997.59814453125,1012.2531803664905,991.1384372026255,1007.528858829517,5161126
2021-03-17,972.7715454101562,1001.7440145228524,966.649205489866,994.9950173124,4712570
2021-03-18,966.842041015625,993.7415801718739,952.5727444670151,988.2460152618324,5797610
2021-03-19,975.6157836914062,982.2683313907223,945.9201486976384,954.5010401731832,6838935
2021-03-22,933.4345703125,975.5675498261695,926.5891233616262,969.9273398280311,12692489
2021-03-23,954.5491943359375,958.7432491848783,935.2181505197683,941.9671474822821,7530882
2021-03-24,924.3233642578125,949.680298530477,920.7560254787874,944.9077817076313,5028085
2021-03-25,923.4556274414062,935.218177108375,895.543691726432,924.3233791856047,7614686
2021-03-26,918.5867919921875,941.4851769933048,915.9354000446897,938.8819804028071,4891178
2021-03-30,926.5890502929688,943.3169563951336,920.7560004885098,931.3615669862833,5831461
2021-03-31,920.2257690429688,934.2540298582101,915.935323390402,926.5890856457839,4453746
2021-04-01,957.6827392578125,961.2500782986498,924.7090537895842,929.4333756067185,7932671
2021-04-05,903.7388916015625,953.4886767588055,885.6130255188116,949.6803023556764,11223431
2021-04-06,894.0011596679688,919.9848125837432,888.4573401283723,913.8142768619042,6925347
2021-04-07,911.6448974609375,918.2975040186494,888.1198565854845,897.6166363421999,5714921
2021-04-08,901.3768920898438,923.6003660624287,898.5808551606858,914.9712784844322,3946239
2021-04-09,890.5302124023438,906.0046872148081,884.5525173428679,901.4732058545642,4980026
2021-04-12,814.1218872070312,858.0867582483113,810.8437794234043,852.3019036983227,10674765
2021-04-13,845.9385375976562,849.4094265853663,814.2182301377319,819.5210131640878,6778840
2021-04-15,827.5716552734375,852.109092598492,811.0848427805153,836.3935823026413,6862663
2021-04-16,832.0067749023438,838.7557723435989,822.4617406967906,833.1155034597402,5338683
2021-04-19,802.1665649414062,806.5534015741118,781.9195723166832,800.1900845735486,8550122
2021-04-20,814.7003784179688,833.7903873500431,809.9278614733038,814.7003784179688,8240669
2021-04-22,805.73388671875,809.8314922811948,785.7761255041133,801.2024052686113,9717099
2021-04-23,819.5211181640625,829.1143477283593,793.296430613495,800.2382683249081,7695324
2021-04-26,828.7286987304688,839.7199470956972,820.9191677870522,826.2701470517331,4894557
2021-04-27,850.8074951171875,854.2301889582566,828.1983434708153,828.728610035502,5202133
2021-04-28,893.6636352539062,897.61659564885,856.1584714674316,858.0867563130789,9935828
2021-04-29,905.763671875,924.4680008291693,884.2150519660981,903.2568660989282,12187280
2021-04-30,901.4249877929688,914.4891061109512,882.2867250139559,894.7241860526755,7301455
2021-05-03,880.8404541015625,933.000592124413,866.7639989038256,895.6882702799265,16854199
2021-05-04,877.5142822265625,900.9911275546547,873.5130674847695,896.6524864909886,7499852
2021-05-05,897.76123046875,901.2321196133026,876.6946834586868,889.9034462723491,5975741
2021-05-06,891.7835693359375,904.9923326471354,887.0110524474738,903.8353499398435,3705397
2021-05-07,892.98876953125,917.6707932812199,891.8317867952794,899.1110506911559,5419712
2021-05-10,911.5003051757812,915.8871415992386,897.7612751214874,905.3297698934641,5087341
2021-05-11,914.8265380859375,922.6843225743952,889.8070886419875,890.8194264428932,5732298
2021-05-12,883.7811889648438,916.4655822915395,881.2261879665696,908.2221762193748,5074561
2021-05-14,858.90625,889.9034522940545,856.2548583490697,889.9034522940545,6169600
2021-05-17,922.154052734375,925.4803559369394,864.9321633501252,864.9321633501252,10987165
2021-05-18,939.6050415039062,951.5604317867696,932.3257775539554,932.3257775539554,8715366
2021-05-19,932.32568359375,943.5097116887138,926.7336695462681,930.3973988293368,4787294
2021-05-20,940.52099609375,952.4763864715059,928.4692150059265,928.4692150059265,5835440
2021-05-21,979.5687255859375,983.4252953717089,946.595042148275,949.6803097462091,12591860
2021-05-24,968.72216796875,986.0767328091954,961.2982590176864,982.3648077569574,5385688
2021-05-25,958.26123046875,976.4352926033547,947.1735919943599,975.7121857463293,4583345
2021-05-26,962.6480712890625,971.8074248525235,951.6086281195738,963.033692973256,2972854
2021-05-27,970.7468872070312,976.9656183231334,951.6086814381225,959.611052704201,4427518
2021-05-28,982.798583984375,988.7280835972392,967.0348784476167,978.1225166352016,5388785
2021-05-31,976.6763305664062,983.8110084448153,967.9990482612753,978.6046155231021,2643491
2021-06-01,973.8320922851562,994.3683151738859,969.927327042028,979.5687517641157,3766919
2021-06-02,991.138427734375,993.0667126132356,967.516937968332,972.7233306798895,4177378
2021-06-03,969.686279296875,1000.0567667916317,929.4815269392609,994.0308764156879,14752885
2021-06-04,973.1090087890625,986.7034532814729,967.9990653330166,975.9050455642173,4323154
2021-06-07,988.4387817382812,995.621713527296,973.3017925178468,981.4970032522715,3823401
2021-06-08,983.5699462890625,991.1384410012649,969.5416265303076,988.2460136442573,3141410
2021-06-09,967.5651245117188,998.5622683492373,961.4910389679266,982.4611368346124,4767864
2021-06-10,987.6192626953125,991.716867973288,969.9272728572747,975.7121273673579,2984339
2021-06-11,978.7010498046875,994.9950819528219,975.8086222408712,991.1385118677335,2679470
2021-06-14,987.5711669921875,991.1384470101892,958.1165678174859,975.7121676792913,3982216
