Price,Close,High,Low,Open,Volume
Ticker,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS
Date,,,,,
2021-01-01,573.8136596679688,578.8696952318573,563.7969623670317,565.7049047100674,3606724
2021-01-04,576.1985473632812,579.0127737679094,569.9977351813917,579.0127737679094,2120531
2021-01-05,581.4930419921875,586.0244044805435,573.4319749730104,576.1985143088418,3813409
2021-01-06,577.1048583984375,585.5474797792008,567.9944455680269,584.7843145049372,2167700
2021-01-07,573.1935424804688,582.208581497737,570.9994204795017,581.6362220977554,2195640
2021-01-08,581.4930419921875,584.3072682353735,574.8629315482807,578.8696216041919,3458752
2021-01-11,600.0478515625,603.6729302765456,581.4454141929153,584.784313207969,6360644
2021-01-12,595.564208984375,605.676338647816,591.4621444662973,603.4821583054611,4562628
2021-01-13,591.84375,603.8637637124957,583.1625772291703,597.9491306850055,3660044
2021-01-14,585.7382202148438,594.3239595991005,580.6344984267332,594.2285857851396,3576000
2021-01-15,574.6722412109375,585.2612976333072,567.6128314455058,581.9223986248043,4492648
2021-01-18,557.8345947265625,573.8136104797389,554.2572031400305,573.8136104797389,3346718
2021-01-19,555.8789672851562,563.7969157083246,550.7751870044468,562.8429446157555,5743934
2021-01-20,569.1868896484375,574.9584032550491,556.7375200040882,560.9350162047745,6156865
2021-01-21,567.851318359375,584.5458132292432,562.8906568100301,575.6262064033674,4506198
2021-01-22,557.8345947265625,578.9650776546548,555.7835335933077,571.6194886184875,4307126
2021-01-25,547.1978759765625,562.6999085133245,543.7636028279624,560.7442791307666,2016556
2021-01-27,546.2915649414062,561.4596702526062,540.4723063892968,546.6254315307401,3662455
2021-01-28,538.612060546875,549.4873543928775,535.6547734229179,545.5760961675438,4769073
2021-01-29,534.0330810546875,547.5794841188111,528.7385523917267,547.5794841188111,3593336
2021-02-01,557.2622680664062,561.6505120464367,528.8338813431362,537.0857550439811,4707518
2021-02-02,548.8672485351562,568.948386750305,541.0447321037509,562.842948426219,5713446
2021-02-03,553.4463500976562,570.4747107313509,544.7174913505039,561.8889709377352,10599727
2021-02-04,560.982666015625,562.8429212139442,550.9659699601226,558.0730659494193,3816120
2021-02-05,565.2278442382812,572.3826270767405,562.0797514345136,566.563426991769,5918498
2021-02-08,569.6160888671875,576.9616775741619,567.5173991444278,567.612772958818,3970852
2021-02-09,571.142578125,579.5375131727159,567.1835742920258,569.5208154141751,3072281
2021-02-10,573.0982055664062,578.058867513594,569.8069932400945,573.0982055664062,2435907
2021-02-11,582.2562255859375,593.3700119620311,570.8085726220398,575.5307411148024,7033762
2021-02-12,579.5374755859375,587.8370362641757,575.721590973026,587.8370362641757,3621853
2021-02-15,594.4193725585938,596.7089265021496,579.4420727825654,580.0144321555666,3234989
2021-02-16,599.4276123046875,605.7238553963125,589.1247378761142,600.9063138310657,6418986
2021-02-17,603.0528564453125,615.9791532542431,595.5164614363841,606.7256219039492,8556599
2021-02-18,595.2779541015625,613.7850163495168,592.5591598130428,608.1088767766308,4457424
2021-02-19,588.5524291992188,597.2812290487793,582.3516176033011,595.2779132080985,3013104
2021-02-22,589.8403930664062,594.8487419661891,583.8303860318234,590.5081845648672,3020000
2021-02-23,598.6168823242188,605.7716657782931,587.6462143613048,591.3667250477341,4222282
2021-02-24,597.1382446289062,623.8971233666795,586.6922490374737,623.8971233666795,10479819
2021-02-25,599.5708618164062,609.7306777532483,595.6118582929399,599.9524735629251,4977348
2021-02-26,581.111572265625,597.0905896592661,576.6755829526005,596.2319923000418,5547291
2021-03-01,595.8026733398438,599.57087104807,581.1592393977162,586.596886627556,2530243
2021-03-02,603.2435913085938,606.7256090533764,593.3700138855347,599.5708259277469,3051386
2021-03-03,607.5842895507812,618.1733467369814,603.8637785254773,605.7717209536778,3601961
2021-03-04,602.0510864257812,614.214216910459,599.8569647286013,605.6762228763405,2621353
2021-03-05,593.9901123046875,613.8803859001883,589.5541235218592,604.5314810234754,2839628
2021-03-08,587.6939086914062,599.2846813236363,586.6922506403465,598.0445304877635,1939925
2021-03-09,583.5441284179688,592.3206741064618,574.2905971836423,590.3172998784959,3065358
2021-03-10,592.3683471679688,594.9440807004116,586.6922076600864,588.4093439397906,2778304
2021-03-12,586.9307861328125,596.0411995304328,585.1659626870899,594.3240629999873,1884687
2021-03-15,579.6806640625,590.3174087610448,574.67231490747,588.6956459609257,2765564
2021-03-16,582.5425415039062,589.554206592976,580.4914801162232,583.4010806557086,2480801
2021-03-17,575.5784912109375,584.2119770162842,572.4780848595178,583.8303652519512,2263020
2021-03-18,567.5173950195312,580.2051982071197,559.9810005127815,578.1064502738425,3387208
2021-03-19,572.6211547851562,579.680564240248,550.4890135423075,562.8429509758304,4874177
2021-03-22,591.9867553710938,594.3716831247649,568.8052692505654,575.2445741854774,3154483
2021-03-23,604.9130249023438,610.5414774377824,591.9867287048703,592.4160273263482,4940745
2021-03-24,600.1432495117188,609.7307065066816,595.8981243168398,603.6729545432482,2938251
2021-03-25,586.5491333007812,605.0085098318202,582.8763676948157,604.8177039582866,2981311
2021-03-26,599.3800048828125,605.7239357171467,586.7875752555329,591.4620567361762,3557256
2021-03-30,599.952392578125,608.2518937997098,589.1247866593324,601.8125894704162,19895244
2021-03-31,609.4921875,615.9791796373235,601.0018210237971,601.0018210237971,4424477
2021-04-01,620.224365234375,622.8954728039289,611.1616393273249,611.4955059388524,3844057
2021-04-05,615.2636108398438,621.9414078696334,609.7782775653737,621.9414078696334,3568896
2021-04-06,643.501220703125,647.7464039203654,608.7289610124653,615.5021910404718,7636739
2021-04-07,635.1062622070312,643.8828080051036,628.8100762137268,643.8828080051036,3898156
2021-04-08,639.8284301757812,646.0292423428441,636.1079195852334,636.3464123608896,2477848
2021-04-09,648.5095825195312,653.470244193602,634.3908210054676,639.1606768025011,2566543
2021-04-12,625.4234619140625,644.5028848916212,620.0812467706573,643.9305254926056,4201041
2021-04-13,633.38916015625,646.697069416783,625.8050778270621,626.7590489822862,3065417
2021-04-15,628.9531860351562,642.9765739974677,617.362471157465,632.2920851582885,3193956
2021-04-16,640.4007568359375,645.409104868897,629.9070752430699,632.2920028778125,2708331
2021-04-19,633.5322265625,638.0159026773264,621.5122131894395,631.5289104089163,2620095
2021-04-20,648.7957763671875,665.8718837831711,635.6309857255129,646.1723556216234,8230341
2021-04-22,634.8677978515625,649.3681709202249,632.4828699858541,649.3681709202249,3013453
2021-04-23,634.0092163085938,644.5983312313438,630.574943386814,636.2987704069666,2329094
2021-04-26,639.3515625,643.9306129916724,631.5766732898602,636.298842763623,1845322
2021-04-27,642.6903076171875,648.6049397685414,637.348034805157,643.8827714289213,2258769
2021-04-28,645.9816284179688,661.10204881262,643.9305670252792,645.8385094460948,3900923
2021-04-29,640.9254760742188,649.1296626723102,635.3447682916969,647.126288377366,3247095
2021-04-30,638.6837158203125,646.7924709875607,634.4385323523029,640.1146726145328,2206232
2021-05-03,645.933837890625,651.0853053551749,630.5749257725577,631.3857779541174,1985777
