Price,Close,High,Low,Open,Volume
Ticker,TRENT.NS,TRENT.NS,TRENT.NS,TRENT.NS,TRENT.NS
Date,,,,,
2021-01-01,671.272705078125,688.4860885856564,668.6359467699996,687.4413570647507,328829
2021-01-04,675.1033935546875,679.8793523580099,670.6259207897706,675.6008905285671,565557
2021-01-05,671.6209716796875,676.4964667289125,668.6359895833334,676.4964667289125,450769
2021-01-06,673.2626953125,680.8743627590272,668.63594905177,675.5014317490572,227409
2021-01-07,672.0687866210938,681.4216948573406,669.1335418381101,672.4667478290239,302941
2021-01-08,691.9188232421875,697.4907651196295,671.5214470867633,674.6059040672022,897082
2021-01-11,690.277099609375,701.6200557002077,684.8046325133728,699.381319160934,487073
2021-01-12,681.1729125976562,693.5108632953315,679.5809463855257,691.5208751653593,333187
2021-01-13,669.8796997070312,689.5308308904162,663.6609873072259,684.4563858640203,692189
2021-01-14,651.3229370117188,673.6108231019101,645.7509958539729,673.461549735526,543503
2021-01-15,640.2786254882812,655.7010321628242,636.2986495722702,650.6265871617552,705409
2021-01-18,656.7457885742188,696.4958116871438,626.8462305184294,642.6666596757407,488034
2021-01-19,674.3571166992188,686.7945404671866,652.7657368921049,665.6509200616413,437784
2021-01-20,676.546142578125,691.5207892497698,653.71101947784,673.6108983051714,628236
2021-01-21,663.262939453125,681.5708523331894,657.2432382317248,681.5708523331894,874465
2021-01-22,657.1935424804688,676.5959256422691,636.8459028648629,659.6810275012124,1258060
2021-01-25,667.3922119140625,673.6109242874697,649.5320578317144,662.665990510273,410716
2021-01-27,655.9000244140625,669.3821802994407,650.1290716462178,659.6809892806083,390506
2021-01-28,655.9497680664062,673.7601842405243,643.7610920575879,646.7460739372985,472720
2021-01-29,618.4384765625,659.2332284522037,582.0714598896742,653.8104992867965,946190
2021-02-01,637.9404296875,646.7461023273419,621.9707273463409,625.8512282521508,580728
2021-02-02,662.417236328125,678.5858883601671,637.9404089283862,638.6866544067882,732091
2021-02-03,677.1431274414062,686.5458325108467,660.7257270987556,670.0786946161104,642063
2021-02-04,666.2977905273438,676.5462171064642,658.686061745537,676.5462171064642,426826
2021-02-05,685.003662109375,688.6353539341752,664.6560217526119,675.7999671973815,1424089
2021-02-08,688.4363403320312,692.4163161437971,678.5858759060663,692.4163161437971,521522
2021-02-09,674.9044189453125,691.2223448587066,667.6907124357865,691.0233339125209,452702
2021-02-10,687.3916625976562,695.5008889567401,666.6460595150442,673.5612807857888,336479
2021-02-11,690.0780029296875,695.5007317970596,673.8098770571787,685.5507928586181,438577
2021-02-12,682.2175903320312,691.4710214358344,678.0883413642356,685.5507955978845,168139
2021-02-15,698.187255859375,709.3809376204928,677.5411317222022,682.4663638430161,718300
2021-02-16,746.4942626953125,754.2054663419485,706.4457534337513,707.1422613929188,2095315
2021-02-17,764.5534057617188,774.1053237682996,726.5943607735229,745.4495090189434,1348015
2021-02-18,775.1004028320312,782.9110822144212,761.5187090938965,766.1454559443698,460573
2021-02-19,790.0252685546875,800.970203005697,761.7176759422895,768.1353996526684,630929
2021-02-22,812.2632446289062,840.6703690105805,788.0351674958456,795.7463702080839,1665511
2021-02-23,781.5180053710938,828.7802177056735,776.5927732029364,820.7705286033142,417058
